20,43,2.02
81,54,0.48
99,83,2.14
38,23,1.47
35,31,4.59
41,89,0.03
52,13,2.16
16,79,4.11
79,88,1.25
86,88,1.78
66,68,2.84
1,21,0.23
85,42,4.33
46,98,4.35
61,22,0.58
2,32,2.7
83,30,1.09
50,48,2.24
25,14,2.83
69,91,3.53
23,28,1.73
13,1,4.6
10,58,1.05
16,34,2.71
87,71,2.41
38,5,1.52
59,28,2.01
28,12,0.42
15,55,2.01
15,19,1.37
20,69,2.41
75,26,0.43
78,70,3.77
67,22,0.13
55,52,2.66
39,8,2.57
23,96,2.92
88,94,2.86
72,50,1.47
12,19,1.94
77,38,1.45
11,94,4.39
66,15,0.72
53,79,4.63
67,47,2.43
71,35,4.18
53,98,1.13
14,25,0.85
33,84,1.72
78,34,2.03
40,17,0.17
4,9,3.24
71,14,3.89
36,87,2.0
62,42,4.47
78,39,4.97
28,58,1.11
9,50,0.14
58,21,0.51
85,45,3.16
31,29,1.52
86,15,4.34
71,7,3.7
38,65,3.08
35,45,4.2
55,90,2.54
31,86,4.47
31,65,2.97
13,48,2.14
39,60,0.7
79,87,4.2
95,31,4.53
90,20,4.07
38,27,4.45
50,98,1.88
61,66,2.64
35,51,0.75
93,76,1.28
45,49,2.06
82,73,1.5
42,27,2.28
87,60,1.83
91,81,0.86
25,93,4.91
52,24,1.12
45,94,2.59
85,18,3.0
81,44,3.33
16,83,1.25
50,0,4.77
92,31,4.52
35,17,3.02
8,13,2.4
36,15,0.32
65,42,2.68
22,85,1.51
43,80,1.02
80,14,0.36
41,74,3.34
89,17,2.22
