94,35
28,47
80,67
19,34
75,63
70,44
82,1
27,38
2,77
59,87
37,53
76,44
13,81
78,64
50,76
49,87
33,71
90,85
36,75
46,71
82,70
6,90
37,67
3,24
5,82
74,95
88,31
51,36
41,36
57,72
20,94
94,90
47,51
47,10
50,74
21,4
100,93
2,74
49,7
46,17
64,95
90,12
88,92
30,21
97,85
61,93
85,36
29,91
27,22
30,27
59,6
56,15
39,4
10,46
72,80
16,39
44,100
37,59
47,100
56,19
79,80
76,9
24,96
66,95
43,11
30,82
34,14
94,55
42,40
57,27
36,54
13,10
1,22
6,47
98,13
6,79
50,96
10,30
55,43
32,92
24,58
67,98
58,87
99,100
21,44
43,56
77,28
95,58
86,58
74,53
80,50
38,7
95,22
66,16
14,47
4,88
73,19
39,18
23,71
11,94
