25,88
2,41
19,67
30,80
64,55
85,72
14,55
55,29
79,34
41,64
43,23
91,24
71,72
58,79
49,96
72,35
63,76
68,25
17,19
46,37
81,33
24,0
84,12
1,93
5,32
33,6
39,20
42,96
91,1
43,92
68,61
93,37
1,3
48,10
4,35
16,80
28,21
2,4
4,14
87,84
4,85
14,75
53,57
50,98
46,17
14,14
3,63
1,46
98,21
61,8
26,87
21,7
81,9
33,79
68,62
2,27
47,33
15,72
33,47
96,67
82,40
29,6
97,22
84,77
98,35
38,41
63,88
56,72
21,15
68,98
93,39
99,47
51,17
28,34
63,36
48,32
13,36
9,56
95,73
87,41
38,82
12,54
87,35
99,68
66,48
80,8
44,61
92,86
61,46
69,26
91,74
22,49
85,10
6,23
40,79
27,78
17,21
73,69
84,57
